"ElevationCount","Product","Description","Publisher","FileName","FileInternalName","FileVersion","FilePath","FileHash","Users","Devices","ElevationType","ChildProcessBehaviour","Group"
"1","Microsoft® Windows® Operating System","TimeZone Sync Task","Microsoft Corporation","tzsync.exe","tzsync.exe","10.0.26100.1591","C:\\Windows\\System32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Adobe Reader and Acrobat Manager","Adobe Reader and Acrobat Manager","Adobe Inc.","AdobeARM.exe","AdobeARM.exe","1.824.460.1091","C:\\Program Files (x86)\\Common Files\\Adobe\\ARM\\1.0","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Modern Setup Host","Microsoft Corporation","SetupHost.exe","SetupHost.exe","10.0.26100.1591","C:\\$WINDOWS.~BT\\Sources","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","<Null>","<Null>","<Null>","ShowAppPickerForPDF.exe","<Null>","0.0.0.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","""ApplyTrustOffline.PROGRAM""","Microsoft Corporation","ApplyTrustOffline.exe","""ApplyTrustOffline.PROGRAM""","10.0.22621.4111","C:\\Windows\\System32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Adobe Acrobat","Adobe Acrobat","Adobe","ADNotificationManager.exe","ADNotificationManager.exe","23.8.20458.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Visual Studio Code","Visual Studio Code Setup","Microsoft Corporation","VSCodeUserSetup-x64-1.94.0.exe","","1.94.0.0","C:\\Users\\NICKBE~1\\AppData\\Local\\Temp\\WinGet\\Microsoft.VisualStudioCode.1.94.0","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Windows Data Store Cache Dump Tool","Microsoft Corporation","datastorecachedumptool.exe","DataStoreCacheDumpTool","10.0.22621.4111","C:\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Adobe Crash Processor","Adobe Crash Processor","Adobe Inc.","Adobe Crash Processor.exe","CRProcessMonitor","14.0.0.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Adobe Crash Reporter Service","Adobe Crash Reporter Service","Adobe Inc.","CRWindowsClientService.exe","CRWindowsClientService.exe","14.0.0.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Internet Explorer","IE Per-User Show IE Icon Utility","Microsoft Corporation","ie4uShowIE.exe","IE4USHOWIE","11.0.26100.1591","C:\\$WINDOWS.~BT\\NewOS\\Windows\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Windows 11 Setup","Microsoft Corporation","SetupPrep.exe","SetupPrep.exe","10.0.26100.1","D:\\Sources","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","","Microsoft Corporation","icacls.exe","icacls","10.0.26100.1","C:\\WINDOWS\\system32","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Adobe Acrobat","Adobe Acrobat SpeedLauncher","Adobe Systems Incorporated","Acrobat_sl.exe","","22.3.20310.0","C:\\Program Files\\Adobe\\Acrobat DC\\Acrobat","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
"1","Microsoft® Windows® Operating System","Windows PowerShell","Microsoft Corporation","powershell.exe","POWERSHELL","10.0.26100.1","C:\\Windows\\SysWOW64\\WindowsPowerShell\\v1.0","FC4AC0261C635D5D83C1B179BF01D72A9F4E22A28B99E05B707C0E4CA972EF52","AzureAD\NickBenton","MVE-65102705","Automatic/UserAuthentication/UserJustification/SupportApproved","AllowAll/RequireRule/DenyAll/NotConfigured","AssignmentGroupName"
